"filename", "language", "TypeScript", "JSON with Comments", "JSON", "XML", "TypeScript JSX", "JavaScript", "CSS", "Markdown", "comment", "blank", "total"
"/Users/ryanhajji/Documents/Projects/jsm_banking/lib/appwrite.ts", "TypeScript", 35, 0, 0, 0, 0, 0, 0, 0, 0, 9, 44
"/Users/ryanhajji/Documents/Projects/jsm_banking/lib/plaid.ts", "TypeScript", 11, 0, 0, 0, 0, 0, 0, 0, 0, 2, 13
"/Users/ryanhajji/Documents/Projects/jsm_banking/lib/utils.ts", "TypeScript", 162, 0, 0, 0, 0, 0, 0, 0, 13, 38, 213
"/Users/ryanhajji/Documents/Projects/jsm_banking/next.config.mjs", "JavaScript", 0, 0, 0, 0, 0, 19, 0, 0, 35, 17, 71
"/Users/ryanhajji/Documents/Projects/jsm_banking/package-lock.json", "JSON", 0, 0, 10594, 0, 0, 0, 0, 0, 0, 1, 10595
"/Users/ryanhajji/Documents/Projects/jsm_banking/package.json", "JSON", 0, 0, 60, 0, 0, 0, 0, 0, 0, 1, 61
"/Users/ryanhajji/Documents/Projects/jsm_banking/postcss.config.mjs", "JavaScript", 0, 0, 0, 0, 0, 6, 0, 0, 1, 2, 9
"/Users/ryanhajji/Documents/Projects/jsm_banking/public/icons/Accesibility.svg", "XML", 0, 0, 0, 6, 0, 0, 0, 0, 0, 1, 7
"/Users/ryanhajji/Documents/Projects/jsm_banking/public/icons/AliceQueen.svg", "XML", 0, 0, 0, 9, 0, 0, 0, 0, 0, 1, 10
"/Users/ryanhajji/Documents/Projects/jsm_banking/public/icons/Balance-Card-01.svg", "XML", 0, 0, 0, 36, 0, 0, 0, 0, 0, 1, 37
"/Users/ryanhajji/Documents/Projects/jsm_banking/public/icons/Balance-Card-02.svg", "XML", 0, 0, 0, 36, 0, 0, 0, 0, 0, 1, 37
"/Users/ryanhajji/Documents/Projects/jsm_banking/public/icons/BanksList.svg", "XML", 0, 0, 0, 152, 0, 0, 0, 0, 0, 1, 153
"/Users/ryanhajji/Documents/Projects/jsm_banking/public/icons/Banner.svg", "XML", 0, 0, 0, 10, 0, 0, 0, 0, 0, 1, 11
"/Users/ryanhajji/Documents/Projects/jsm_banking/public/icons/BarcalysWhite.svg", "XML", 0, 0, 0, 9, 0, 0, 0, 0, 0, 1, 10
"/Users/ryanhajji/Documents/Projects/jsm_banking/public/icons/BlueCirclePrimary.svg", "XML", 0, 0, 0, 3, 0, 0, 0, 0, 0, 1, 4
"/Users/ryanhajji/Documents/Projects/jsm_banking/public/icons/ChaseWhite.svg", "XML", 0, 0, 0, 9, 0, 0, 0, 0, 0, 1, 10
"/Users/ryanhajji/Documents/Projects/jsm_banking/public/icons/Cursor.svg", "XML", 0, 0, 0, 3, 0, 0, 0, 0, 0, 1, 4
"/Users/ryanhajji/Documents/Projects/jsm_banking/public/icons/EliFanum.svg", "XML", 0, 0, 0, 9, 0, 0, 0, 0, 0, 1, 10
"/Users/ryanhajji/Documents/Projects/jsm_banking/public/icons/EllaJones.svg", "XML", 0, 0, 0, 9, 0, 0, 0, 0, 0, 1, 10
"/Users/ryanhajji/Documents/Projects/jsm_banking/public/icons/FilledStar.svg", "XML", 0, 0, 0, 3, 0, 0, 0, 0, 0, 1, 4
"/Users/ryanhajji/Documents/Projects/jsm_banking/public/icons/Frame 501.svg", "XML", 0, 0, 0, 10, 0, 0, 0, 0, 0, 1, 11
"/Users/ryanhajji/Documents/Projects/jsm_banking/public/icons/Globe.svg", "XML", 0, 0, 0, 10, 0, 0, 0, 0, 0, 1, 11
"/Users/ryanhajji/Documents/Projects/jsm_banking/public/icons/GoUpPage.svg", "XML", 0, 0, 0, 5, 0, 0, 0, 0, 0, 1, 6
"/Users/ryanhajji/Documents/Projects/jsm_banking/public/icons/GrayedStar.svg", "XML", 0, 0, 0, 3, 0, 0, 0, 0, 0, 1, 4
"/Users/ryanhajji/Documents/Projects/jsm_banking/public/icons/Holiday+3.svg", "XML", 0, 0, 0, 26, 0, 0, 0, 0, 0, 1, 27
"/Users/ryanhajji/Documents/Projects/jsm_banking/public/icons/HorizonLogoWText.svg", "XML", 0, 0, 0, 10, 0, 0, 0, 0, 0, 1, 11
"/Users/ryanhajji/Documents/Projects/jsm_banking/public/icons/InteractiveTransactions.svg", "XML", 0, 0, 0, 34, 0, 0, 0, 0, 0, 1, 35
"/Users/ryanhajji/Documents/Projects/jsm_banking/public/icons/IshaanChadha.svg", "XML", 0, 0, 0, 9, 0, 0, 0, 0, 0, 1, 10
"/Users/ryanhajji/Documents/Projects/jsm_banking/public/icons/ItsTooEasy.svg", "XML", 0, 0, 0, 5, 0, 0, 0, 0, 0, 1, 6
"/Users/ryanhajji/Documents/Projects/jsm_banking/public/icons/JeremyBoateng.svg", "XML", 0, 0, 0, 9, 0, 0, 0, 0, 0, 1, 10
"/Users/ryanhajji/Documents/Projects/jsm_banking/public/icons/Lines.svg", "XML", 0, 0, 0, 60, 0, 0, 0, 0, 0, 1, 61
"/Users/ryanhajji/Documents/Projects/jsm_banking/public/icons/Organisation.svg", "XML", 0, 0, 0, 5, 0, 0, 0, 0, 0, 1, 6
"/Users/ryanhajji/Documents/Projects/jsm_banking/public/icons/Paypass.svg", "XML", 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 10
"/Users/ryanhajji/Documents/Projects/jsm_banking/public/icons/Pen.svg", "XML", 0, 0, 0, 3, 0, 0, 0, 0, 0, 1, 4
"/Users/ryanhajji/Documents/Projects/jsm_banking/public/icons/PhonePlaidAuth.svg", "XML", 0, 0, 0, 18, 0, 0, 0, 0, 0, 1, 19
